semanticnet_scale,n_items,match_type,n_dois,dois
carroll depression - hypochondriasis,4,none,0,
carroll depression - insomnia,6,none,0,
carroll depression - libido,2,none,0,
carroll depression - loss of insight,2,none,0,
carroll depression - loss of weight,2,none,0,
carroll depression - retardation,4,none,0,
carroll depression - somatic,4,none,0,
carroll depression - suicide,4,none,0,
carroll depression - work and interests,4,none,0,
cautiousness,18,none,0,
ces - depression,20,core_exact,1,10.1037/t25577-000
chance loc,10,none,0,
change cynicism,8,none,0,
characteristics desired in friend,87,none,0,
cheerfulness,10,none,0,
chicago multiscale depression - evaluative,6,none,0,
chicago multiscale depression - mood,9,fuzzy,1,10.1037/t28268-000
chicago multiscale depression - vegetative,9,none,0,
child adolescent support,43,none,0,
child anxiety related emotional disorders,38,none,0,
child control of parents,7,none,0,
child eating behaviour,35,core_exact,1,10.1037/t86718-000
child mania,21,core_exact,1,10.1037/t62607-000
child psychological distress screener,5,fuzzy,1,10.1037/t00363-000
child ptsd,17,none,0,
child sexual abuse attitude and belief,36,core_exact,1,10.1037/t47878-000
child-related,6,none,0,
childhood autism syndrome,37,none,0,
childhood trauma,19,core_exact,13,10.1037/t02080-000;10.1037/t09716-000;10.1037/t16616-000;10.1037/t19269-000;10.1037/t25412-000;10.1037/t27251-000;10.1037/t33468-000;10.1037/t43674-000
children loneliness,24,none,0,
children's impact of traumatic events,78,fuzzy,1,10.1037/t02083-000
children's manifest anxiety,42,core_exact,4,10.1037/t00514-000;10.1037/t05391-000;10.1037/t16261-000;10.1037/t73392-000
children's perception of interparental conflict,52,core_exact,1,10.1037/t83689-000
children's perception of others' depression,21,none,0,
children's rejection sensitivity,46,core_exact,1,10.1037/t87408-000
children's yale brown ocd,9,none,0,
childrens attribution and perception,18,none,0,
childrens sleep habits,6,none,0,
childrens' attitudes towards down syndrome,20,none,0,
children’s relationship attribution,6,none,0,
church involvement,2,core_exact,1,10.1037/t12581-000
citizenship/teamwork,9,none,0,
civic participation,5,core_exact,1,10.1037/t44215-000
civil liberties,4,none,0,
civil restrictions for muslim americans,6,none,0,
classroom anxiety,20,core_exact,1,10.1037/t54485-000
climate for sexual harassment,9,none,0,
clinical anger,84,none,0,
clinical decision making,12,none,0,
clinical features of depression,12,none,0,
clinical interview - abnormalities,12,none,0,
clinical interview - symptoms,10,none,0,
clinically useful depression,18,none,0,
clinically useful depression outcome,18,core_exact,1,10.1037/t62654-000
clinician-administered ptsd,30,core_exact,2,10.1037/t00072-000;10.1037/t08962-000
codependency,16,none,0,
cognition based trust colquitt,6,none,0,
