"doi","name","items","matched","files","status"
"10.1037/t67378-000","Pain Disability Index","0","","0","not_found"
"10.1037/t05003-000","Social Functioning Scale (SFS)","0","","0","not_found"
"10.1001/archpsyc.1986.01800030107013","","0","","0","not_found"
"10.1207/s15374424jccp1802_8","Parenting Sense of Competence Scale (PSOC)","17","","0","no_psyctests_doi"
"10.1037/t30592-000","Mental Health Continuum-Short Form (MHC-SF)","0","","0","not_found"
"10.1037/t08132-000","Emotion Regulation Checklist (ERC)","0","","0","not_found"
"10.1037/t05500-000","Frost Multidimensional Perfectionism Scale (FMPS)","36","","1","no_source_text (scanned or nothing archived)"
"10.1037/t15271-000","Multidimensional Fatigue Inventory","0","","0","not_found"
"10.1037/t08755-000","Multidimensional Body-Self Relations Questionnaire (MBSRQ)","0","","0","not_found"
"10.1037/t67378-000","Pain Disability Index (PDI)","0","","0","not_found"
"10.1037/t11872-000","Student-Teacher Relationship Scale","28","11","11","REVIEW"
"10.1037/t00534-000","Spiritual Well-Being Scale (SWBS)","20","20","2","ok"
"10.1037/t05003-000","Social Functioning Scale (SFS)","83","60","4","REVIEW"
"10.1037/t03774-000","Minnesota Nicotine Withdrawal Scale","8","8","2","ok"
"10.1037/t06501-000","Ways of Coping Questionnaire (WCQ)","66","65","5","ok"
"10.1037/t60094-000","Panic Disorder Severity Scale (PDSS) – Self-Report Form","7","5","3","REVIEW"
"10.1037/t15175-000","Wechsler Memory Scale-Fourth Edition (WMS-IV)","0","","0","not_found"
"10.1037/t08945-000","Classroom Assessment Scoring System (CLASS)","10","0","1","REVIEW"
"10.1037/t30592-000","Mental Health Continuum-Short Form (MHC-SF)","14","0","1","REVIEW"
"10.1037/t52053-000","","0","","0","not_found"
"10.1037/t15271-000","Multidimensional Fatigue Inventory (MFI-20)","20","0","3","REVIEW"
"10.1037/t08132-000","Emotion Regulation Checklist (ERC)","0","","0","not_found"
"10.1037/t12205-000","Clinical Interview Schedule--Revised (CIS-R)","0","","0","not_found"
"10.1037/t04993-000","Hare Psychopathy Checklist-Revised (PCL-R)","20","19","1","ok"
"10.1037/t08755-000","Multidimensional Body-Self Relations Questionnaire (MBSRQ)","69","65","3","ok"
"10.1037/t15120-000","Minnesota Multiphasic Personality Inventory-2 (MMPI-2)","0","","0","not_found"
"10.1037/t02125-000","","0","","0","not_found"
"10.1037/t03988-000","","0","","0","not_found"
