meta_doi,meta_instrument_name,scale_name,item_text,database,corpus,url
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I talked less than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I talked less than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I talked less than usual,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I talked less than usual.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Impact of Events Scale-Revised,Hyperarousal,I was jumpy and easily startled.,Stress Measurement Network,larsen_corpus,NA
NA,Impact of Events Scale,Subjective Distress,I was jumpy and easily startled.,Stress Measurement Network,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I thought that life wasn't worth living,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I thought that life wasn't worth living,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt that people disliked me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt that people disliked me,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I felt fearful,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt fearful,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt fearful,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I felt fearful.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Blood Donations Reactions Inventory,total_scale,I felt weakness,ScienceofBehaviorChange,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I cried a lot,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
