dataset,regime,u,f,s,variant,n_draws,pearson_r_mean,pearson_r_p2.5,pearson_r_p97.5,mae_mean,mae_p2.5,mae_p97.5,sign_error_rate_mean,sign_error_rate_p2.5,sign_error_rate_p97.5,rho_mean,rho_p2.5,rho_p97.5,p_at_5_mean,p_at_5_p2.5,p_at_5_p97.5,p_at_10_mean,p_at_10_p2.5,p_at_10_p97.5,ndcg_at_10_mean,ndcg_at_10_p2.5,ndcg_at_10_p97.5
pilot_holdout,missing_only,0.75,0.0,0.0,aligned,50,0.36802330941283157,0.3307860260475601,0.410880957062537,0.1948046470250284,0.18962651546172574,0.19976727802484684,0.31925987182137694,0.2967283440148853,0.3339983460822824,0.37027860496355947,0.3461465297472439,0.3963187928207356,0.5860530973451327,0.552433628318584,0.6137610619469027,0.4847079646017698,0.4586061946902655,0.5040265486725664,0.7580610382687799,0.7386768528254577,0.7745771968956151
pilot_holdout,missing_only,0.75,0.0,0.0,hyperplane_old,50,0.26271089812233706,0.24787224757746343,0.2826970189886825,0.20856758700360728,0.20691448384355912,0.2105275972628742,0.3537647302046723,0.34808248914616496,0.3596805871407897,0.3560405962101889,0.3458784747057419,0.3668151275600597,0.5808141592920354,0.5632300884955753,0.5978318584070796,0.4724070796460176,0.4586061946902655,0.4847566371681416,0.7522073898381066,0.7449878979805511,0.762720956090991
pilot_holdout,missing_only,1.0,0.0,0.0,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,1.0,0.0,0.0,documented,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,missing_only,1.0,0.0,0.0,aligned,50,0.23816336034132252,0.2381633603413225,0.2381633603413225,0.21151247589053557,0.2115124758905356,0.2115124758905356,0.36179450072358904,0.361794500723589,0.361794500723589,0.34245941596652585,0.3424594159665258,0.3424594159665258,0.5610619469026547,0.5610619469026548,0.5610619469026548,0.4628318584070796,0.46283185840707963,0.46283185840707963,0.7423581858287114,0.7423581858287113,0.7423581858287113
pilot_holdout,missing_only,1.0,0.0,0.0,hyperplane_old,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
validation_prolific,full,0.0,0.03,0.03,plain,50,0.3260703287726564,0.3260703287726564,0.3260703287726564,0.19395338338223095,0.19395338338223095,0.19395338338223095,0.4064454064454065,0.40644540644540644,0.40644540644540644,0.30953124828474365,0.30953124828474365,0.30953124828474365,0.4175000000000001,0.4175000000000001,0.4175000000000001,0.35625,0.35625,0.35625,0.7216719826168133,0.7216719826168134,0.7216719826168134
validation_prolific,full,0.0,0.03,0.03,documented,50,0.6469995021046329,0.5425516874830744,0.7279856601739133,0.14955273377125125,0.13995331979112952,0.15760028248689179,0.242943722943723,0.20907888407888406,0.2650793650793651,0.3764073873327838,0.35569256835482954,0.395375717747561,0.42845000000000005,0.4130625,0.44000000000000006,0.36634999999999995,0.35153125,0.3775,0.7216621389497736,0.7100561855772829,0.7325918029863177
validation_prolific,full,0.0,0.03,0.03,aligned,50,0.648991444498767,0.548925647375511,0.7319991934573662,0.14858416580920486,0.13877780387077662,0.1559247312265112,0.24109668109668111,0.20678210678210676,0.2673761423761424,0.3804920325054569,0.3594019597814548,0.39772711710803704,0.43394999999999995,0.41999999999999993,0.445,0.36939999999999995,0.35750000000000004,0.37750000000000006,0.7263567561303473,0.7157032407496368,0.7338491305794765
validation_prolific,full,0.0,0.03,0.03,hyperplane_old,50,0.4478762001392369,0.3989369883855298,0.46163848766069515,0.18181772544296662,0.18028656598953322,0.1858306312097111,0.36939874939874934,0.36363636363636365,0.3805194805194805,0.28454881571919743,0.2766253865445252,0.2955843240507999,0.42150000000000004,0.4175,0.425,0.35887499999999994,0.34640624999999997,0.36125,0.7223564464577471,0.7102560783820344,0.72585199322847
validation_prolific,full,0.1,0.03,0.03,plain,50,0.3260703287726564,0.3260703287726564,0.3260703287726564,0.19395338338223095,0.19395338338223095,0.19395338338223095,0.4064454064454065,0.40644540644540644,0.40644540644540644,0.30953124828474365,0.30953124828474365,0.30953124828474365,0.4175000000000001,0.4175000000000001,0.4175000000000001,0.35625,0.35625,0.35625,0.7216719826168133,0.7216719826168134,0.7216719826168134
